
Train set: Average loss: 0.0021, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0064, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0028, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0013, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0023, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0027, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0039, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0011, Accuracy: 425/425 (100%)


 The epoch is 120, average recall: 0.7759, average precision: 0.6818,average F1: 0.7258, average accuracy: 0.7119, average AUC: 0.8135
Train set: Average loss: 0.0044, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0023, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0018, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0014, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0009, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0058, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0015, Accuracy: 422/425 (99%)


 The epoch is 130, average recall: 0.7586, average precision: 0.6984,average F1: 0.7273, average accuracy: 0.7203, average AUC: 0.8155
Train set: Average loss: 0.0015, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0009, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0010, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0020, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0005, Accuracy: 424/425 (100%)


