
 The epoch is 120, average recall: 0.8621, average precision: 0.9259,average F1: 0.8929, average accuracy: 0.8983, average AUC: 0.9523
Train set: Average loss: 0.0013, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0010, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 424/425 (100%)


 The epoch is 130, average recall: 0.8621, average precision: 0.8621,average F1: 0.8621, average accuracy: 0.8644, average AUC: 0.9549
Train set: Average loss: 0.0007, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0012, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0009, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0014, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0009, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0026, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0097, Accuracy: 411/425 (97%)


 The epoch is 140, average recall: 0.8621, average precision: 0.8772,average F1: 0.8696, average accuracy: 0.8729, average AUC: 0.9402
Train set: Average loss: 0.0034, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0014, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0015, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0016, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0007, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0208, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0258, Accuracy: 391/425 (92%)


Train set: Average loss: 0.0050, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0021, Accuracy: 420/425 (99%)


 The epoch is 150, average recall: 0.8448, average precision: 0.8909,average F1: 0.8673, average accuracy: 0.8729, average AUC: 0.9371
Train set: Average loss: 0.0094, Accuracy: 412/425 (97%)


Train set: Average loss: 0.0083, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0059, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0024, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0015, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0061, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0064, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0023, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0013, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


 The epoch is 160, average recall: 0.8621, average precision: 0.9259,average F1: 0.8929, average accuracy: 0.8983, average AUC: 0.9454
Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0013, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0023, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0007, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 424/425 (100%)


 The epoch is 170, average recall: 0.8276, average precision: 0.9057,average F1: 0.8649, average accuracy: 0.8729, average AUC: 0.9388
Train set: Average loss: 0.0012, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0012, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0017, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0058, Accuracy: 411/425 (97%)


Train set: Average loss: 0.0032, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0023, Accuracy: 421/425 (99%)


 The epoch is 180, average recall: 0.8793, average precision: 0.7969,average F1: 0.8361, average accuracy: 0.8305, average AUC: 0.9282
Train set: Average loss: 0.0019, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0027, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0016, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0010, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0009, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0025, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0018, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0005, Accuracy: 425/425 (100%)


 The epoch is 190, average recall: 0.7241, average precision: 0.8400,average F1: 0.7778, average accuracy: 0.7966, average AUC: 0.9109
Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0030, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0053, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0085, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0108, Accuracy: 410/425 (96%)


 The epoch is 200, average recall: 0.8276, average precision: 0.8571,average F1: 0.8421, average accuracy: 0.8475, average AUC: 0.9273
Train set: Average loss: 0.0022, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0017, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0025, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0007, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0016, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0013, Accuracy: 423/425 (100%)


 The epoch is 210, average recall: 0.8103, average precision: 0.9400,average F1: 0.8704, average accuracy: 0.8814, average AUC: 0.9509
Train set: Average loss: 0.0047, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0021, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0012, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0009, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


 The epoch is 220, average recall: 0.7759, average precision: 0.9000,average F1: 0.8333, average accuracy: 0.8475, average AUC: 0.9371
Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


 The epoch is 230, average recall: 0.8103, average precision: 0.8868,average F1: 0.8468, average accuracy: 0.8559, average AUC: 0.9365
Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


 The epoch is 240, average recall: 0.8276, average precision: 0.8889,average F1: 0.8571, average accuracy: 0.8644, average AUC: 0.9394
Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0154, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0087, Accuracy: 413/425 (97%)


Train set: Average loss: 0.0065, Accuracy: 418/425 (98%)


 The epoch is 250, average recall: 0.8276, average precision: 0.8889,average F1: 0.8571, average accuracy: 0.8644, average AUC: 0.9328
Train set: Average loss: 0.0108, Accuracy: 405/425 (95%)


Train set: Average loss: 0.0090, Accuracy: 409/425 (96%)


Train set: Average loss: 0.0106, Accuracy: 410/425 (96%)


Train set: Average loss: 0.0051, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0154, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0045, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0033, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0006, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0011, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 425/425 (100%)


 The epoch is 260, average recall: 0.7414, average precision: 0.8431,average F1: 0.7890, average accuracy: 0.8051, average AUC: 0.9086
Train set: Average loss: 0.0005, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0008, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


 The epoch is 270, average recall: 0.7241, average precision: 0.8750,average F1: 0.7925, average accuracy: 0.8136, average AUC: 0.9089
Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0009, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


 The epoch is 280, average recall: 0.7586, average precision: 0.8800,average F1: 0.8148, average accuracy: 0.8305, average AUC: 0.9270
Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0112, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0039, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


 The epoch is 290, average recall: 0.8103, average precision: 0.8393,average F1: 0.8246, average accuracy: 0.8305, average AUC: 0.9101
Train set: Average loss: 0.0047, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0027, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0038, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0010, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0020, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0020, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0014, Accuracy: 422/425 (99%)


 The epoch is 300, average recall: 0.7931, average precision: 0.8846,average F1: 0.8364, average accuracy: 0.8475, average AUC: 0.9167
Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0011, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 424/425 (100%)


 The epoch is 310, average recall: 0.8966, average precision: 0.8667,average F1: 0.8814, average accuracy: 0.8814, average AUC: 0.9468
Train set: Average loss: 0.0011, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0019, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


 The epoch is 320, average recall: 0.8448, average precision: 0.8305,average F1: 0.8376, average accuracy: 0.8390, average AUC: 0.9218
Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0031, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0014, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


 The epoch is 330, average recall: 0.8448, average precision: 0.8305,average F1: 0.8376, average accuracy: 0.8390, average AUC: 0.9190
Train set: Average loss: 0.0051, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0044, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0028, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0032, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0068, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0018, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0007, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


 The epoch is 340, average recall: 0.7414, average precision: 0.8431,average F1: 0.7890, average accuracy: 0.8051, average AUC: 0.9000
Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 424/425 (100%)


 The epoch is 350, average recall: 0.7069, average precision: 0.8542,average F1: 0.7736, average accuracy: 0.7966, average AUC: 0.8983
Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0009, Accuracy: 423/425 (100%)


